tweets,type,class
آلله سهل عليك خويا الف مبروك,positive,dialectal
الله ارحموا ويجعل مثواه الجنة يارب العالمين,positive,dialectal
اليوم شفت شفار كايتكرفس على بنت صغير و لا من يحرك ساكن,negative,dialectal
مابقا مايعجب كلشي ولا خاسر,negative,dialectal
هادو مبقاوش يحشمو الكلاب,negative,dialectal
كرهت هادالبلاد البئيسة,negative,dialectal
انا بعدا انافس بكل روح رياضية,positive,dialectal
مزيانة فوالديه الصهيوني لاخور,negative,dialectal
انا متشائم من هاد الماتش,negative,dialectal
شوية ايجابية الناس محتاجة ايجابية لو سمحتم,negative,dialectal
اممم الله اكتر من أمتالك,positive,dialectal
الله يسهل عليك خويا فؤاد,positive,dialectal
حافض على لابتسامة ديالك ديما,positive,dialectal
و نعم بالله أخاي يونس,positive,dialectal
صحيح الله يرحم من قراك,positive,dialectal
تحياتي لك خويا ,positive,dialectal
أجسام البغال و عقول الدبان,negative,dialectal
قرار ف محلو ,positive,dialectal
قصة الأندلس من القصص لي كتعجبني بزاف خصوصا الفترة ديال عبد الرحمان الداخل,positive,dialectal
ملي تنتأمل في حال المسلمين و لهذا الذل لي وصلوا ليه الحكام و الحكرة لي بين الشعوب و الغدر,negative,dialectal
بصحتو تبرع مع راسك,positive,dialectal
كنحترم الرأي ديالك ,positive,dialectal
جبتيها لاصقة,positive,dialectal
مبروووك فوز قطر بالكأس الأسيوية وليمت الحساد بغيضهم ,positive,dialectal
الله يسخر فيه و يحفضو,positive,dialectal
الله يسلمك خويا,positive,dialectal
الله يفاجيها عليك أخويا,positive,dialectal
عندك الزهر ,positive,dialectal
الجمال في البساطة داك شي لي كاين,positive,dialectal
صباح الخير و أخيرا الويكند الراحة ؤ السياحة نهاركم مبروك,positive,dialectal
الكلام لي تيخرج من القلب يصل إلى القلب مباشرة تحية لناس الرجا,positive,dialectal
الله يعاونو مسكين,positive,dialectal
مساء الخير الإخوة و الأخوات خدموا تبوكصوا مع راسكم أو تهلاو في الوالدين أهم حاجة,positive,dialectal
جبتيها في الصميم يا صديقي ,positive,dialectal
الصيف هنا مكاين غي الإحتفالات,positive,dialectal
صباح الخير بنت بلادي كاع متخلعي رابحين إنشاء الله ,positive,dialectal
صباح الخير خويا الله يسهل الأمور في هاد النهار,positive,dialectal
مبروك العيد لجميع الإخوة و الأخوات إنشاء الله بالأفراح و والمسرات ؤ باش ما تمنيتو يارب ,positive,dialectal
ويحكم ماذا تفعلون متأكدين أن هادو لعبو الإقصاءيات باش وصلوا لروسيا فريق دون المستوى,negative,dialectal
فكرة زوينة أ الصديق لعز ,positive,dialectal
كادوا مني ليك أخونا,positive,dialectal
بالعزيمة والإرادة القوية حتى حاجة ما بعيدة توصل توصل إنشاء الله,positive,dialectal
ربي يعاونك خويا,positive,dialectal
أمين ممشا معاك باس اخويا,positive,dialectal
أمين أ خويا,positive,dialectal
الله يشافيه او يهون عليه الألم يا رب,positive,dialectal
آلله يسمحنا من الواليدين توحشتهم و الله العظيم ,positive,dialectal
الله يشافي المرضى,positive,dialectal
صراحة تعداو على الرجاء ,negative,dialectal
الله يرحمه و يوسع عليه,positive,dialectal
النتائج ديال البطولة اليوم كلها مزيانة للطاس,positive,dialectal
واعرة هادي,positive,dialectal
اش هاد الفضيحة هادي,negative,dialectal
مصيبة هادي اغلبيتهم عديمي المسؤولية,negative,dialectal
الله يسهل ليهم,positive,dialectal
لا حول و لا قوة الا بالله الله يرحمه و يوسع عليه,positive,dialectal
مزيانة للبلاد,positive,dialectal
آش هاد المصيبة تبلات بيها هاد البلاد ,negative,dialectal
الله يخليهم لك,positive,dialectal
كاينة,positive,dialectal
غير البداية استمر,positive,dialectal
يا ربي تربح الحسنية سواسة الله يعمرها دار,positive,dialectal
بالعكس صادقة لهم,positive,dialectal
سيري على قد جهدك تلقائي بزاف تاع الناس عندهم نفس الدخل و عايشين به مسألة حسن تدبير أو تبذير ,positive,dialectal
ها المعقول ,positive,dialectal
الله يخليه لك و يصلحه,positive,dialectal
هادي هي المصيبة,negative,dialectal
هاد الأيام كمية الحقد ازدادت فالتويتر ,negative,dialectal
البنزرتي داير خطة ديال الجهالة,negative,dialectal
الأجر مع النية الحسنة و صافي صباح الخير,positive,dialectal
فهمتك و انا بغيت نزيدك معلومة و صافي باش نبسطو شويا,positive,dialectal
غير ضاحك معاك اخويا,positive,dialectal
فاش تنسمعها احس بفخر كبير بانني انتمي لهدا الوطن,positive,dialectal
كتزيد تحس بحجم المسؤولية اللي عندو شي وليدات الله يصلحهم له,positive,dialectal
من أجمل اللحظات عندي هو نشوف التلاميذ خارجين من المدرسة فرحانين,positive,dialectal
مبروك للوداد و الوداديين البطولة قريبة ان شاء الله,positive,dialectal
ماعرفتش اش وقع لي حتى انه اصبحت أشمئز من الخليجيين,negative,dialectal
معيق بزاف,negative,dialectal
آمين خويا,positive,dialectal
تبارك الله عليك,positive,dialectal
علينا و عليك خويا,positive,dialectal
شكرا خويا,positive,dialectal
اللي عنده أمه الله يخليها ليه و اللي ماتت الله يرحمها,positive,dialectal
وايلي التعليم فالمغرب يحتدى به ,positive,dialectal
ماتش ديال المرض ,negative,dialectal
نهاركم مبروك,positive,dialectal
كلامك صحيح الاحترام في هاد الزمان هو الخوف شحال هادي ما قلتي شي حاجة مزيانة,positive,dialectal
غير حيث كنتفائلو به بلا سوء النية الله يجازيكم,positive,dialectal
فالواقع البطولة اللي كتعكس المستوى الحقيقي للكرة الأفريقية هي الشأن و ما يتلج القلب هو اننا الاحسن افريقيا,positive,dialectal
واعرة هاديك,positive,dialectal
تبارك الله الكعبي عاطياه الكورة غادي يمشي بعيد ان شاء الله,positive,dialectal
المكان اللي تيعجبني,positive,dialectal
الصراحة ماشي عيب,positive,dialectal
خاصك تنشري هادشي راه شيق,positive,dialectal
خاص يرفع عليهم دعوى تعويض على الاضرار,negative,dialectal
كلشي فحالك و لكن بعد العسر يسرا,positive,dialectal
نقص شوية انت من التبرهيش و احترم نفسك,negative,dialectal
حشومة عليك,negative,dialectal
لا حول و لا قوة الا بالله العلي العظيم فين وصلونا,negative,dialectal
عزيز عليك الضحك,positive,dialectal
كرة القدم من العشق الى الميوعة,negative,dialectal
هاد السيد كيجيني احسن مغربي كيتكلم على الكورة,positive,dialectal
قبح الله الفقر و لو ماشي عذر,negative,dialectal
الإرادة و العزيمة فكرة القدم احيانا تكون فعالة على التقنيات و المهارة,positive,dialectal
يا ربي تربح روسيا,positive,dialectal
الله يخليه ليك,positive,dialectal
الحكم ولا راجل مزيان ,positive,dialectal
و الله العظيم الا انا شخصيا عذبني,negative,dialectal
فكرة مجهدة هادي تصلاح تكون في واقع التطبيق ان شاء الله,positive,dialectal
تستاهل,positive,dialectal
يارب يكون بخير ويرجع بالسلامة ومايطول غيابه,positive,dialectal
تستاهلي,positive,dialectal
يستاهل,positive,dialectal
شكون عندو يصيفطها لي شكرا,positive,dialectal
 الله يعطيك الصحة,positive,dialectal
ونعم الرجل رضا شكرا بزاف,positive,dialectal
خويا رضا سير الله يسهل عليك,positive,dialectal
نتي بعدا صدمتني فيك,negative,dialectal
الله يحفظك والله فرحتيني شكرا,positive,dialectal
الله يسلمك ياك لاباس عليكم بعدا,positive,dialectal
ندمنتي لي رجعت,negative,dialectal
بتوفيق اخويا العزيز تبارك الله عليك,positive,dialectal
راكم فالبال,positive,dialectal
ترحب بيك جنة غ ضربت طليلة حيت توحشتكم ,positive,dialectal
اش خباركم,positive,dialectal
اللهم اميين يارب جزاك الله خير اخوي,positive,dialectal
تحريض علي الكراهية,negative,dialectal
الله يكمل عليك بالخير يارب,positive,dialectal
عايشة حالة حزن,negative,dialectal
 الله يخليها سلعة من شي بعضين,negative,dialectal
الحمدالله ياربي علي كلشي,positive,dialectal
الله يحفظك,positive,dialectal
الله يفرحك,positive,dialectal
كتحطني امام امر الواقع مرحبا بيكم نعام سيدي,positive,dialectal
الله يكثر من امثالك,positive,dialectal
في امان الله اختي متنساينيش من دعوات الله يحفظك والله محتاجة شي دعوات من القلب الله يفرج همكم يارب,positive,dialectal
الله الله حنا نستاهلو ,positive,dialectal
بنت الدار الكبيرة مستحيل تقلق ,positive,dialectal
والله معزتكم كبيرة,positive,dialectal
ويسعدك يارب انت شخص عزيز كثير وانت عارف,positive,dialectal
اميين يارب والله كتفرحوني بكلامكم ,positive,dialectal
الله يفرحك,positive,dialectal
عيد ميلاد سعيد كل عام وانتي بألف خير وصحة وسلامة يارب,positive,dialectal
لاباس عليك اختي الله يشافيك,positive,dialectal
وجوه الويل,negative,dialectal
الله يشافيك اختي مايكون باس,positive,dialectal
الله يرحمها ويغفر لها يارب,positive,dialectal
عيب ندخلو فالخصوصات ,negative,dialectal
الله يتقبل اجرك في امان الله ,positive,dialectal
الله يشافيها ويعافيها يارب,positive,dialectal
اسيدي مسامحينك,positive,dialectal
عيب تضحك علي خلق الله قلة أدب,negative,dialectal
ضحكتني,positive,dialectal
بصحتك,positive,dialectal
اوا الحمد لله,positive,dialectal
لٱ حول ولا قوة يارب تلطف الخبث و الإجرام,negative,dialectal
انا معاك خويا العزيز,positive,dialectal
ها علاش تركيا قوية و مزدهرة,positive,dialectal
الله اكثر خيركم,positive,dialectal
الله ازين الصنعة,positive,dialectal
تفكروا ناس الخير فحياتكم و لو برحمة ,positive,dialectal
 اللهم آمين خويا شكرا ,positive,dialectal
 مافيها باس و كوليها يدعي معاك ,positive,dialectal
 الله يكون معاه دريويش ,positive,dialectal
 كلشي موجود الحمد لله و أنت كيف الحال ,positive,dialectal
 لا غير ضاحكين ,positive,dialectal
 نتايا مكلخ,negative,dialectal
 في رأيي مبادرة مزيانة ,positive,dialectal
 يا ربي آمين أنا وياك خويا ,positive,dialectal
 الله يعمرها دار,positive,dialectal
 ظرافات ولد الناس عزيز علينا و الله شاهد,positive,dialectal
 الله ينجيك و يبارك فيك خويا عمر شكرا جزيلا ,positive,dialectal
 يرحب بيك الخير خويا لعزيز شكرا ,positive,dialectal
إلى اللقاء دوزوا بخير ,positive,dialectal
 انا مغربي مائة في المائة اخي غير ضاحكين ,positive,dialectal
الطموح هو ما تخليش فرحتك باللي حققتي اليوم تنسيك في واجباتك ديال غدا إن شاء الله ,positive,dialectal
تحية للي كان فالبال و مازال ,positive,dialectal
 لا بصح نيت كاين اللي يستاهلو ,positive,dialectal
 و يحفظك ليا و ينجيك خويا محمد ,positive,dialectal
 الله يبارك فيك آلعزيز تفكرتينا ,positive,dialectal
 الله يعطيك الصحة و الخير ,positive,dialectal
يسعد مساكم ,positive,dialectal
 هذا هو لكلام الواجب درناه ,positive,dialectal
 و نعم بالله و خليك معانا على وجه الله آوجه الله ,positive,dialectal
 شرح معقول و منطقي راك فرحان ,positive,dialectal
 الله يخلف عليك ,positive,dialectal
 العفو خويا انا ما قلتش العكس ,positive,dialectal
 متافقين ,positive,dialectal
 للأسف الشديد تخصصي ماشي بيطري ,negative,dialectal
 الله اكمل عليكم بخير ان شاء الله و يفرحكم و يصلح الوليدات يارب,positive,dialectal
 امين يفرحك و تحققي كاع متمنيتي ان شاء الله ,positive,dialectal
 الله يعزك و يوفقك خاي ياسر كل الامتنان لك صديقي ,positive,dialectal
 وانت اعز صديقة فهاد الفضاء صريحة وواضحة ,positive,dialectal
 انها الشخص المناسب جدا ,positive,dialectal
 هو زوين اكون شوية داللعب المتعة كاين تما ,positive,dialectal
 الله احفظك خويا ,positive,dialectal
العز اخويا شكرا ,positive,dialectal
 اذن المشكل مشكل ثقافة في الاساس ثقافة الحوار ثقافة تقبل الاخر ثقافة التعايش حتى ثقافة الحب ناقصة عندنا,negative,dialectal
 مصيبة هادي,negative,dialectal
هادي متفق معاه ,positive,dialectal
 غا ضاحكين,positive,dialectal
 اللهم امين الله يجازيك بخير امامنا كنت محتاج هاد الدفيعة ,positive,dialectal
 مقتنع بهاد الفكرة ,positive,dialectal
 و لا اروع بزيرو درهم ,positive,dialectal
 بلاش منو هاد الكادو ندمتونا,negative,dialectal
 ها الصح الله يعطيك الصحة فكرة زوينة ,positive,dialectal
 الله اعزك شكرا على المساعدة,positive,dialectal
 للاسف الشديد لقد حاولت جاهدا واخا مربحناش و لكن المهم هو المشاركة ,negative,dialectal
صباح الخير الفياق بكري قد يكون احيانا جيد واخا ماشي ديما,positive,dialectal
 اللهم امين نضحكو و نشطو هنا هذا هو المهم,positive,dialectal
 غنمشي نشوف شكرا تحياتي ,positive,dialectal
 حامض,negative,dialectal
 نشوفو شي وقت ان شاء الله راك عزيز أخي,positive,dialectal
 غا ضاحك معاك ,positive,dialectal
 وجهة نظر تحترم انا مازال كنقلب على شي واحد تعطيني تعريف حقيقي ملموس لهاد مصطلح وطن ,positive,dialectal
 زادت على القياس عبودية ماشي غا تبعية,negative,dialectal
 على سلامتك خويا الدنيا مراحل و فصول,positive,dialectal
 الله يرحمو مسكين,positive,dialectal
 فكرتيني فيه الله يفكرك فالشهادة نسيت كاع درك العشا,positive,dialectal
 معتبر نفسك صاحب حق و أنت غارق في جهلك,negative,dialectal
 شوية و تبان على حقيقتك الوسخة,negative,dialectal
سامو من الناس اللي نجحوا فحياتهم و مشاو بسرعة ,positive,dialectal
 الحكرة خايبة لكن كما تدين تدان,negative,dialectal
 شفتي نيتك ناقصة ,negative,dialectal
 الكلام الموزون ماشاء الله,positive,dialectal
 الله يخليها ليك,positive,dialectal
 معلوم هانية الى خسرتيها على راسك و لا على شي ناس عزاز,positive,dialectal
رجاء اليوم الفوز ديالكم من دون شك تواضع كبير منك هذا ,positive,dialectal
 غير كنضحك معاك العفو,positive,dialectal
 الله يعطيك الصحة,positive,dialectal
 احتراماتي لبحال هاد الرجالة الكبار,positive,dialectal
 الله يشافي و يعافي,positive,dialectal
 الله يرضى عليك,positive,dialectal
 الله يهدي الجميع,positive,dialectal
أهلا صديقي وا فين غبورك,positive,dialectal
 الله يخفف ما نزل و يلطف,positive,dialectal
الواحد هو اللي يسافر و يتبرع و يبدل الجو ,positive,dialectal
 الله يخفف ما نزل و يصبركم,positive,dialectal
 الله يشافيك حتى انت خويا,positive,dialectal
 ما بقاش يحشم,negative,dialectal
صباحكم مبروك,positive,dialectal
 الله يعطيك الصحة,positive,dialectal
 غير كنضحك عارف اللي كاين,positive,dialectal
 سيري أ سعاد الله يفرحك,positive,dialectal
 كتموت على الرديلة انت,negative,dialectal
و الله الى عندك الحق سير عالله,positive,dialectal
 الله يرضى عليك أ ولدي,positive,dialectal
 امين الحاج و الله يحفظ ليك وليداتك,positive,dialectal
 الله يهدي ما خلق,positive,dialectal
 الله يقبل,positive,dialectal
 الحضارة ديال بالصح,positive,dialectal
ينعل بوها كرة فهاد البلاد,negative,dialectal
الله يهديه,positive,dialectal
 بناتي كيحماقو عليهم علاش الله أعلم,positive,dialectal
صباح النور الناس العزاز,positive,dialectal
 الله يعاونك على مشاغلك ,positive,dialectal
 الله يحفظك,positive,dialectal
 هاد الناس واعرين و بزاف,positive,dialectal
 الله يخلف,positive,dialectal
 ربي كبير الحمد لله على كل حال,positive,dialectal
 الله يشافي و يعافي ,positive,dialectal
كاين اللي لا زين لا أخلاق,negative,dialectal
 مابقى لا احترام لاوالو,negative,dialectal
الله يحفظه و يخليه ليه ,positive,dialectal
 فلوس حرام ,negative,dialectal
 كنت غادي نعس ولكن فرحة مان يونايتد جعلتيني لا اشغر بنوم ,positive,dialectal
كاينة واحد فئة من جماهير ريال العربية قمة الحقد والكراهية ولا يعرفون ان كرة القدم مرة لك ومرة عليك ,negative,dialectal
قلت ليكم ان بارصا فريق ضعيف جدا جدا,negative,dialectal
 ريتم الوداد مرتفع بزاف ,positive,dialectal
 قهرتنا غير ببلاغات,negative,dialectal
عمرني شفت بارصا تلعب بهذا اسلوب حقير فقير,negative,dialectal
 ختي انا اسف تصبحون على الخير واقسم اني لن اقول كلمة بعد الان تحياتي ,positive,dialectal
 نتا ماشي راجل محترم وغير جدير بالإحترام,negative,dialectal
 كورة ساهلة,positive,dialectal
 نتا ماشي رجل من كلام باينة كاع مامربي,negative,dialectal
 ديما جمهور ردجا كدير كوارث,negative,dialectal
 تعالى ياحبيبي تعالى,positive,dialectal
 مزيان ياجميل,positive,dialectal
 عزيز عليا صبر,positive,dialectal
 خاصك يكون عندك صبر راها المفاجأة,positive,dialectal
 بشفاء العاجل ان شاءالله,positive,dialectal
 مرحبا بيك,positive,dialectal
 رجل معقول هذا ,positive,dialectal
 حقد والكراهية لكاينة هنا سلامة واصافي,negative,dialectal
 الحقد والكراهية بنت حرام,negative,dialectal
 تحكيم المغربي فاسد وظالم فحق الوداد فقط,negative,dialectal
مزيان,positive,dialectal
 حمدلله عالسلامة اختي,positive,dialectal
 اللهم آمين اختاه الليحفطك ينجيك من شر الخلق,positive,dialectal
ظلم بلاد كحلة ,negative,dialectal
 بحكم المعرفة ديال يمكن ليك تشد القران الكريم وتقرا ما شاء الله وها نتا بخير وصحة وعافية ان شاءالله لا تقترب من اصحاب النفوس ضعيفة,positive,dialectal
 لا اتفق معك الشعب المغربي ماشي القطيع,negative,dialectal
 بعكس انا اكن لك كل الاحترام والتقدير لشخصك,positive,dialectal
 الله يحفظها ليكم اخاي حمزة,positive,dialectal
 انا كنحب الخير لجميع الانسانية احب سلام ,positive,dialectal
 فاش تشوف هذا فرحة كاملة اعلم ان الدي امامك انسان ناجح,positive,dialectal
 زوين الله ,positive,dialectal
 مستوى ضعيف بزاف ,negative,dialectal
 لاعبين ضعاف بشكل لا يصدق,negative,dialectal
 والله كثرة علينا الفضائح هذه ايام,negative,dialectal
 صافي مبروك عليكم نابغة,positive,dialectal
 مشكلة كبيرة يسحاب ليه داكشي غادي يمر بدون حساب اليوم القيامة,negative,dialectal
 بصحتك,positive,dialectal
 اول مرة اتفق معك جيد جيد,positive,dialectal
 زعما راك استاذ خاص تغريدات ديالك تكون القمة في اخلاق,negative,dialectal
 هانية اخويا اشرف غير ضاحكين حمدلله,positive,dialectal
 احبك فالله ,positive,dialectal
 والله العظيم هذا الولاية الشوهة ديال بصح ,negative,dialectal
 ظلم هذا,negative,dialectal
 مصيبة هذا البلاد والله,negative,dialectal
 للاسف ملعب خيب بزاف,negative,dialectal
 هذا بنت كتعجبني طبيعية بزاف ,positive,dialectal
 نقرا هذا كتاب نمرض اخاي بكل صراحة القمة البؤس والشقاء مع كتاب ,negative,dialectal
 ابتسامة عريضة ماشاء الله الله يفرحك ازين,positive,dialectal
 المنكر هذا ,negative,dialectal
 طريقة باش طاح مضحكة للغاية حكم ياسلام ,positive,dialectal
 الفقراء ليهم الله اخاي,positive,dialectal
 دم المغربي اصبح رخيص,negative,dialectal
 يحبك الخير ابنتي العزيزة,positive,dialectal
 الناس السوس طيبين ,positive,dialectal
 الله يعلم من قتلها الله يأخذ فيه الحق,negative,dialectal
 حمدلله باقي قادر نضحك الناس,positive,dialectal
 بوطيب لاعب جيد ,positive,dialectal
 بشفاء العاجل اخي,positive,dialectal
 بصحتك ابنت عمي بدوام الصحة والعافية وكل عام وانتي بالف خير,positive,dialectal
 الله سترنا اختي,positive,dialectal
 وياه اتفق بشدة,positive,dialectal
بصحتكم,positive,dialectal
 تخربيق اصافي,negative,dialectal
 بنت زينة بعقلها ماشاء الله عليها ,positive,dialectal
 المعروف عليكم تخلويظ من الزمان هذا تأجيل كله فصالح ديالكم,negative,dialectal
 ايها كافر فاسق ,negative,dialectal
 قناة مريضة ,negative,dialectal
 الناس في القرن واحد والعشرين باقين تصدقو هذا الخرافات والأساطير,negative,dialectal
 تكذبون حتا على اموت ياسبحان الله ,negative,dialectal
 حدراف معروف بي اخلاق ديالو,positive,dialectal
صحيح دكشي لي كاين يا اختي ,positive,dialectal
الله يحفظك يا فخر المغرب ,positive,dialectal
اليد غادية في تحسن الحمد لله بدا يتجمع أثر الجرح فقط نتمنى ميبقاش اثر الحرق في الأخير ,positive,dialectal
الجامعة مافيا ,negative,dialectal
ياربي يشافيها ويعافيها ,positive,dialectal
هو بصراحة قال الحق ,positive,dialectal
جميل نشريه ,positive,dialectal
صباح الخير لباس عليكم ,positive,dialectal
انا كنعرفك ومتشرف بمعرفتك ,positive,dialectal
هذا السيد خدم البلاد بالزاف خاصو يستمر ,positive,dialectal
بصراحة انا معك فهذا الرأي ,positive,dialectal
حشومة عليهم ,negative,dialectal
 اه اوك متشرفين ,positive,dialectal
 كنفرح لفرحتكم ,positive,dialectal
تبارك الله كتهضر بحال المغاربة ,positive,dialectal
الله يعز الحكام ,positive,dialectal
واخا يا لالة ,positive,dialectal
نتمنى يكون بيخير دابا ,positive,dialectal
الله يجعل السلامة ,positive,dialectal
مشكلة هذه الكرة والله انا بعض المرات كنقول صافي مبقيش نتفرج مبقاش هذا الشيء لعبة ,negative,dialectal
والله العظيم الى كلامي صحيح ,positive,dialectal
السلامة ياربي هذا الشيء ولى يخلع للأسف,negative,dialectal
نقول مبروك ,positive,dialectal
الله يحفظك اخويا شكرا ,positive,dialectal
باقي الخير في الناس,positive,dialectal
الله يرحمه ويوسع عليه ,positive,dialectal
كديرو الغيبة والنميمة ,negative,dialectal
بقى فيا الحال,negative,dialectal
بارعة ,positive,dialectal
أجوبة قيمة جدا استفدت كثيرا والله مغسي كثير ,positive,dialectal
مرحبا هذيك كتبقى كرة قدم مخصش تفرقنا وتخلينا مضاربين ,positive,dialectal
الرجاء محليا ناقصة ,negative,dialectal
شكرا بالزاف لما نجي نزوركم ان شاء الله ,positive,dialectal
 والله اني استفدت اشياء من هذه البنت عجيبة الله يرحم من رباك وعلمك ,positive,dialectal
شكرا بزاف معلومات قيمة في انتظار أسئلة أخرى ,positive,dialectal
لا المجرم خاص تبقى تعذبو شوية بشوية ,negative,dialectal
حشومة عليهم,negative,dialectal
مشات فيها الرجاء للأسف ,negative,dialectal
الرجاء مشات فيها يا خويا ,negative,dialectal
للاسف المنشار على كل من ينجح ,negative,dialectal
اش هذ القرعة المريضة دارت لنا الكاف الفرق المغربية كلها في مجموعة واحدة ,negative,dialectal
هذا المدرب معندك متفهم فيه كيخربقها ويخليها ,negative,dialectal
كذوب ,negative,dialectal
لا غير حيث عرفت قلبك كبير ,positive,dialectal
تحرك وبعد ولدك على هذه المصيبة راها خرجات على شحال من اسرة ,negative,dialectal
رائعة أحسنتي ديما ,positive,dialectal
بحالكم لي خرجو علينا في هذه البلاد المثالية الخاوية ,negative,dialectal
أرضية الملعب كانت عيانة ,negative,dialectal
فكرة زوينة ,positive,dialectal
لباس اختي ربي يحفظك ,positive,dialectal
 حنا كنعرفوكم خونة من زمان ,negative,dialectal
 الله اعطيك الصحة فكرتينا في تلك الحياة الجميلة و البسيطة و الجولات ب في جبال الاطلس,positive,dialectal
 قل مبروك للمغاربة ,positive,dialectal
 للأسف صدقتي كذاب,negative,dialectal
 مكاينش مصداقية فأغلب الأحيان,negative,dialectal
 يكون خير,positive,dialectal
 داكشي مضخم الله يعطيك الصحه,positive,dialectal
 المضمون فيك الله يحفظك ختي ,positive,dialectal
 الله يرحم من قراك ,positive,dialectal
 اللہ̣̥ يكمل عليك بالخير اختي,positive,dialectal
 على راسي وعيني في أي وقت مرحبا ,positive,dialectal
 ماشي خسارة فيك بالصحة,positive,dialectal
 شكرا أختي الله يكبر بيك,positive,dialectal
 الله يسلمك ياولدي,positive,dialectal
 ياربي تشفيها,positive,dialectal
يالطيف صدمتيني,negative,dialectal
 الحمد لله عليها أفضل بكثير من بزاف ديال الناس,positive,dialectal
الله يكون فالعون,positive,dialectal
هاد ساعة طيرتيني بضحك وتدوم ضحكتك,positive,dialectal
شي دفيعة لهاد المرآة المكافحة الكادحة المقاتلة تترزق الله بكتافها و بكل تفاني لتحضر قوت الحلال رائع هذا يفرح تحياتي ترفع لك القبعة,positive,dialectal
هادشي مضحك ,positive,dialectal
احم ابصحتك,positive,dialectal
لباس عليك الحميقة ديالي والله ايلا توحشتك بزاف,positive,dialectal
لو كان غض البصر وخوف الله لما تختل الموازين ولكن للأسف فلننتظر الأسوأ,negative,dialectal
بزاف دالناس مكتحسش بالناس,negative,dialectal
 والله يا ختي راه السكين وصل العضم,negative,dialectal
الجو جميل اختي الحمد على كل حال والله يشافيك,positive,dialectal
بغيت نشوفك بهادي الله يفرح قلبك اختي الغالية,positive,dialectal
اهلا اهلا اهلا اهلا ساعة سعيدة هادي,positive,dialectal
الله الله شكون عندوا اختو العزيزة تتهلا فيه الله يخليك ليا ربي ينورك لبا بنوتة الصغيرة ديالي,positive,dialectal
على رآسي ورموش عيني ,positive,dialectal
عصبتيني غنمشي عند الطبيبة,negative,dialectal
لالا عفاك ماتبكيش دموعك غاليين غير ضاحكين,positive,dialectal
اتشوفيه غتمرضي فصحتك,negative,dialectal
تبارك الله ماشاء الله الايام دغيا دازت وتقاد معاك الله يخليكم البعضكم ياربي,positive,dialectal
بصحتك وراحتك ,positive,dialectal
الغالي يرخاص ليك تستاهلي كل خير ,positive,dialectal
والله بزااف الله يحفض هاد الشعب من قبيلا والحرقة شعلا ليا فالقلب والدموع ,negative,dialectal
واللي مشرف آكثر الجمهور المغربي مزقوا عالم الكيان الصهيوني عندما رفعه آحد الصهاينة الكفار,positive,dialectal
رغم الخسارة نالوا احترام العالم بلد الرجال المحاربين الكادحين المقاتلين لكن آقلهم حضا الشعب باكمله رجال نساء المغرب التابعة,positive,dialectal
تحياتي للآسود والله برافو المحاربين,positive,dialectal
نموت على القطوط,positive,dialectal
هاذشي علاش كنلقاو شي نماذج من هذا الجيل جاهل حيث الجذر مواعيش,negative,dialectal
وحتى آنت ياربي يرزقك بولد الناس يصونك يحطك تاج فوق راسوا ويحلف يخليك لالة البنات,positive,dialectal
معلوم نفرح براسي راه حاجة زوينة وعاطيها قيمة كبيرة لا توصف الزواج كنتمناو ينجح لينا مع الانسانة اللي تستاحق تكون زوجة,positive,dialectal
الله يفرح قلبك سومية انشاء الايام طويلة غنتلاقاو في ساعة خير,positive,dialectal
الله الله عصفورتي الصغيرة ماشاء الله عليها ربي يخليها لكم ويحميها وتتربى فى عزكم,positive,dialectal
يا ربي ياربي يلاقيني ببنت الآصل واللي مكتبها لي يا ربي وشكون هادي اللي فبالك بغيتي تفرحيني بيها,positive,dialectal
 الله يعطيك الصحة ,positive,dialectal
ربي ربي ربي يفرح قلبك هاذ الصباح ناشط مع راسي ,positive,dialectal
الله يغلبك على كلشي ويخليك ل ماماك ربي يطول عمرها ويحفضها ليك ياربي حتى آتكوني كتشبهي ليها فكلشي مين داك الغصين من ديك الشجيرة ,positive,dialectal
منقدرش نجلس ونشوفيك مقاتلة وحدك لااااء ميمكنش يا نجلسو بزوج يا نتعاونو بزوج ,positive,dialectal
والله نتعاونوا المساوات فكلشي فحال الراجل فحال المرآة,positive,dialectal
بغيت نعاونك,positive,dialectal
الله يدوم المحبة مع القلوب الصادقة الصافية الوفية عاش مول النية ولا عاش من خانه,positive,dialectal
الله يهديهم ممربيينش الجنس الناقص معرفتش فاين كابر احساب ليه كلشي فحالوا هاد النوع ولا كثير ومعروف فحال الدرهم,negative,dialectal
انشااء الله يارب كلشي اللي مكتابة وفيها خير ربي يجيبها ,positive,dialectal
عزيزة وغالية اختي ديالي والكبيدة اللي نكساب اللي ضراتك ضراتني,positive,dialectal
والله آلالة الحادكة دائما مكتخليلي منقول ,positive,dialectal
تبارك الله عليك,positive,dialectal
نعم آتعلمي مني ونتعلم منك بارك الله فيك شاف سومية,positive,dialectal
شكرا شكرا ليك رااه غنصايبها احسن منك دابا تشوفي,positive,dialectal
صافي اللي بغيتي على خاطرك,positive,dialectal
لم آجد ما آقول لك الله يحفضك ويسترك ويخليك دائما الفوق الفوق يا آغلى انسانة ربي يحفضك الوالديك اللي رباوك يطول عمرهم ويشوفوك كيف تمناو ياااربي ,positive,dialectal
