tweets,type,class
اكبر مجتمع خاصو يتعالج هو هذا مجتمع مستهلك كسول خامل مكبوت االمغربيات لي تيموتوا على السواعدة ماشي كلشي هنا الغيورات و العفيفات,negative,dialectal
 لا معنديش مع الافلام بالمرة لكن اجزم انه باقي,negative,dialectal
ما تديش علي راني اثرت علي هاد المقاطعة وليت نفيق على المقاطعة و ننعس بها,negative,dialectal
يمكن قالة باللي عندو تأثير على الشعب لكن هيهات الشعب لا يعرف للصباغة سبيلا عاق و فاق,positive,dialectal
و يا ليته لم يفعل لكن انها الاوامر,negative,standard
رحمها الله و جعل الجنة مثواها و جميع موتى المسلمين,positive,standard
,positive,dialectal
 بالنسبة للحب يمكن نقولو باللي باقي الى غابت المصالح,positive,dialectal
لم ذلك و الله اني لا اعرف و علاش بالضبط غير المغربيات بغض النظر على الطماعات الله احسن العوان كانو يديروا سعوديات احسن يعالجو غ مجتمعهم و لكن راهم بالغو بزاف,negative,dialectal
اللهم اجعلنا من عتقائك من النار امييين,positive,standard
براءة الاطفال,positive,standard
و الله الى ما بقا ما يعجب كلشي القنوات المغربية مع الاسف,negative,dialectal
امين جمال المرأة في حياءها و سترها,positive,standard
في امان الله حتى ذلك الحين لا تنسونا من صالح دعائكم,positive,standard
صوم مقبول وافطار شهي,positive,standard
احسنت,positive,standard
اللهم في هذه ⁧ ⁩ اجعلنا ممن عفوت عنهم ، و غفرت لهم ، و عتقت رقابهم من النار، و كتبت لهم الجنة ، نحن و ووالدينا و من نحب و جميع المسلمين يارب,positive,standard
جاء في تقرير للداخلية أصدرته المديرية العامة للجاماعات المحلية أن قرابة ال منتخب أمي في المغرب و أكثر من منهم بدون عمل و أن قرابة منتخب حاصلون على شهادة الابتدائي فقط التقرير كشف تدني مستوى التعليم في عدد كبير من المنتخبين في المغرب و يتكلمون عن اصلاح التعليم,negative,standard
الله ياخد الحق ف اللي كان سباب هؤلاء همهم تشويه صورة المرأة المغربية,negative,standard
قمة النذل و التفاهة مجتمع سعودي مكبوت على الاخر مع احترامي للاقلية حسبنا الله و نعم الوكيل فيكم و لكم وزر كل من سب او شتم اخوته المسلمين,negative,standard
هذا ما يسمى بالنفاق الاجتماعي و تضارب المصالح,negative,standard
عند الامتحان يعز المرء او يهان يارب توفيقك لتلاميذنا و تلميذاتنا ، اللهم افتح عليهم فتح العارفين و سدد اجاباتهم يارب العالمين امين,positive,standard
بوادر أزمة حكومية في الأفق,negative,standard
يارب امين,positive,standard
تماما و الله احسن,positive,standard
 الله يحفظ و صافي,positive,dialectal
اذن حسن يبقى ساكت غادي غ يفشلنا,negative,dialectal
اصلا ما زال ما غلبنا لاننا الى غلبناهم غ ينقصو ف الثمن و ما دام هما نقصو يعني ما زال ما باقين فالمقاطعة,negative,dialectal
الله يهدي ما خلق,negative,dialectal
الاستغفار يفتح الأقفال ويشرح البال ويكثر المال ويصلح الحال أستغفر الله العظيم الذي لا اله الا هو الحي القيوم و اتوب اليه عدد خلقه و رضا نفسه و زنة عرشه و مداد كلماته,positive,standard
اتفق معك,positive,standard
احسن لك و الله لكن من باب الحذر وجب العلم تحياتي,positive,standard
اللهم اجعلنا ممن تدركهم الرحمة ثم المغفرة ثم العتق من النار في هذا الشهر الفضيل,positive,standard
 لا هو على غرار هاد المقولة كيطعن ف بزاف د المسائل اللي ما خاصو يناقشها بالمرة و انا من معارضيه,negative,dialectal
مزيان هواية و صافي,positive,dialectal
هناك ما يسمى بانجذاب الارواح تقدر الواحد ما تعرفو و لكن تشوفو ترتاح ليه قبل ما تتبادل معاه الحديث وهناك العكس سبحان الله,positive,dialectal
المراة ليست ملزمة بخدمة زوجها و اولادها في البيت كاينا شي فتنة كبر من هاادي,negative,dialectal
اااه على فكرة صوتك يشبه لصوتها لكني لست ممن يشجعون على الغناء,negative,dialectal
الله يدير شي تاويل ديال الخير اوصافي البلاد ما بقا فيه ما يعجب,negative,dialectal
كما يقولو ما ديرش ما تخافش الله يحد البأس,positive,dialectal
ااه جميل واش هذا فيديو مركب او انكم كتغنيو بجوحكم,positive,dialectal
هادي هي المشكلة يتغطاو بالوطنية و هم ينهبون و يسلبون,negative,dialectal
المسألة و ما فيها اننا نقدرو نداركو الموقف بالاطلاع على الكتب و ما الى ذلك على عكس ميولكم,positive,dialectal
باش نخرجو من هاد دار غفلون اللي عايشينها لازم من التضحية باش توصل لنتيجة تفرح خاصك تضحي بالغالي و النفيس,positive,dialectal
 الميول دبا عاد عرفت علاش كيخوني التعبير,negative,dialectal
 وحدها لا تكفي,negative,standard
 نقطة مزيانة ف مادة علمية اهون و اسهل من نقطة مزيانة ف مادة ادبية,positive,dialectal
ها الفتن اللي كنت نحذر منهم بسبابو هو سبب بزاف د الفتن و منهم هذه,negative,dialectal
بارك الله فيك,positive,standard
انه تخصصي و افضله على باقي الميادين الاخرى لهذا عليك احترامه,positive,standard
بن كيران خرج بتصريح يدعو فيه الشعب المغربي لوقف و قال ليكم اللي غلب يعف و يرجى ايقاف و اقول لك دائما المواطن هو اللي يعف، يعف على التعليم وعلى الصحة وعلى الشغل وعلى الغلاء اوا و نتوما علاش غادي تعفو، على النهب والسلب الشعب تدمر بغا يشوف الملموس والواقع يتبدل,negative,dialectal
انظر وتمعن ايها المغربي يامن تتلحف السماء وتفترش الارض يامن جعلت من الحاويات موائد لك انظر ايها التلميذ يامن تتلقى تعليمك تحت جدران مهترئة وطاولات وسبورة مكسورة انظر ايها المغربي اين ولمن تعطى الملايين وانت تئن من الجوع ومن الفقر ومن الجهل فملايينك وميزانياتك تذهب الى امثال هذا,negative,standard
حتى حنا دبا مازال غ ضاحكين,positive,dialectal
اللهم امين,positive,standard
اوا الله يرد بينا هدا ما كان,positive,dialectal
و الله افضل دول شمال افريقيا و دول العمق الافريقي المسلمة على دول الخليج,positive,standard
ضحكت من اجل انقاذ مستقبلي,positive,standard
اللهم امين,positive,standard
لا توجد دولة ااسلاميه حالها يفرح و السبب لا اعرف هو باين ف الحقيقة يعني باش يتغير حال هاد الامة خاصنا نهتمو بحالنا دينيا و دنيويا و بهاد الوتيرة اللي غادين بيها خاصنا قرون,negative,dialectal
من يفكر هكذا هو المغفل لانه غفل عن طيبوبة هدا الانسان الذي سيفتقده مستقبلا,negative,standard
يا رب,positive,standard
كل ما تفكر فيه ستحصل عليه مع الاخذ في الاعتبار مسألة العمل بالأسباب و الا لن تحصل على شيء,positive,dialectal
 خاصك تحمدي الله انك باقي عندك ضمير كيأنبك على فعايك اما راه كاينين شي نوع ف بني البشر تديرها قد جبل طوبقال و ما مسوقا,positive,dialectal
هاد مرحلة الرغيب راه غير جس نبض الشعب اما هما ما غ يتراجعو الى اخر رمق و نحن لهم بالمقاطعة الى ان يرث الله الارض كنتعجب لقسوحية روسهم اغلب الدول لوقع فيهم سيناريو مماثل استاجبو لشعوبهم في مدة قصيرة ,negative,dialectal
الى الحكومة و ما جاورها كيف تريدون من الشعب ان يرضخ لمطلبكم بالتراجع عن من اجل مصلحة الوطن و انتم من واجهتموه بآذان بلاستيكية عندما كان يطالبكم بالتخلي عن تقاعدكم السمين ام ان الوطن لنا وحدنا و خيراته لكم فلتستمر المقاطعة حتى اشعار اخر كلكم مسؤول و كلكم مسؤول عن رعيته,negative,standard
كلمات تبكي العين و الله,negative,standard
اللهم امين و الله يرزقنا حسن الخاتمة,positive,standard
انا كيبان ليا لا اشتراكية لا رأسمالية غ تنجح مع هاد القوم هادو خاصهم شي ديكتاتورية تحكمهم شي قرن حتى يديرو عقلهم,negative,dialectal
لا نقول الا ما يرضي ربنا حسبنا الله و نعم الوكيل,negative,standard
امين يا رب العالمين ان القلب ليحزن و ان العين لتدمع لما يتعرض له هذا الشعب العزيز اللهم فرجك يا رب,negative,standard
اللهم إنك عفو كريم تحب العفو فاعفو عنا,positive,standard
تقبل الله منا و منكم صالح الاعمال,positive,standard
تختلف طريقة التحضير من منطقة لاخرى المهم انها صحية,positive,standard
امين,positive,standard
ما ناقصينا فتن اللي فينا يكفينا,negative,dialectal
عندما تلهو الرأسمالية بالقوى الكادحة و تكون الحكومة نائمة فى سبات عميق يعيش الشعب تائها قلقا مهملا ويصبح المستقبل غارقا فى القذارة واش مابانش ليكم نرجعو اشتراكيين حسن,negative,dialectal
فعلا ابدع صاحبها تحياتي,positive,standard
المريس أو الزميط و هو عبارة عن دقيق الشعير المحمص مع الاعشاب المنسمة ونقوم بخلطه مع اللبن أو الماء شعاره لا للجوع و الظمأ بعد الان جبانية وحدة تخليك تصوم تال العشاء,positive,dialectal
هي صافي نقدرو نقولو ضمنا تنظيم المونديال ,positive,dialectal
 ,negative,standard
 أ ,negative,standard
 و تويتر دمر دمرت ,negative,standard
على أي اساس جابو الداودي للأولى هل بصفته وزير تهمه قضية الشعب و محاولة ايجاد حلول ام بصفته محامي للشركة المزعومة كل اجوبته كانت دفاعا عن الشركة خوفا عليها من مغادرة البلاد يا سيدي تمشي و يجو عشرة حسن منها لم يقترح و لا حل منصف في حق هاد المداويخ,negative,dialectal
اسعد الله يومكم بكل خير,positive,standard
هذا ما كان و الله يجيبنا ف الصواب,positive,dialectal
حفظك الله,positive,standard
يارب امين,positive,standard
امين,positive,standard
الله يسر الامور الدنيا هنا باقية الانسان يدير الخير و ينساه,positive,dialectal
 اوا هكاك غ نمشي مرفوع الرأس و اراك للفراجة,positive,dialectal
بيني معاهم غير الخير و الاحسان الله يحد البأس,positive,dialectal
صافي ما بان ليك غ الباذنجان الالا الله يكثر خيرك حتى نتي معاهم,positive,dialectal
 وجب الحذر لانهم منعطف خطير في حياة الانسان,negative,standard
 ما مشا معاك باس خذي راحتك,positive,dialectal
 مصاب راه قاليك حول العالم و حظوظي شبه منعدمة ,negative,standard
 تماما بعض المرات كثرة الهرج و المرج لا تفيد,negative,dialectal
اللهم شافيها و جميع مرضى المسلمين شفاءا لا يغادر سقما,positive,standard
سيدتى الحسناء لا شيء يضاهي روعة همسك دائما أنام في حضن حروفك ألتمس النقاء هناك سحر وجاذبية تدفعني إلى البقاء معجب بك أنا أيتها الحسناء بل انا احبك يا سيدتى الحسناء هذه الكلمات سمعتها من رجل مختل عقليا يا ل روعة التعبير أعجبتني كثيرا ف سجلتها كلما اعدت قرائتها أتعجب من الأمر,positive,standard
وصلني الان وفاة أغنى شخص في عالم الدعاية الشاب الميلياردير الأسترالي المسلم علي بنات وهذه وصيته قبل مماته قرر المرحوم الشاب علي بنات أن يتبرع بكامل ثروته من أجل فقراء المسلمين في العمق الإفريقي,positive,standard
املنا في الله كبير,positive,standard
اللهم جنبنا الفتن ما ظهر منها و ما بطن,positive,standard
للاسف,negative,standard
احسنت,positive,standard
و هي من بين الامور التي افتقدناها نحن العرب,negative,standard
تماما فالكلمة الطيبة و الابتسامة مفاتيح لولوج القلوب,positive,standard
أسعد الله مساءكم,positive,standard
اللهم اغفر لها و ارحمها و ارزق اهلها الصبر و السلوان,positive,standard
صحيح كلامك وجب التصدي له و بشتى الطرق,positive,standard
لن يستطيع العلم اختراع مهدئ للأعصاب أفضل من الكلمة تقال في اللحظة المناسبة,negative,standard
القراءة تصنع إنسانا كاملا، والمشورة تصنع إنسانا مستعدا، والكتابة تصنع إنسانا دقيقا فأيهم تفضلون,positive,standard
امين,positive,standard
و عليه السلام نعم القرار هو هذا,positive,standard
 النساء لا يعرفهن الا النساء الناس لا يعرفون سوى توجيه اصابع الاتهام,negative,standard
و الله اني لا اتفق مع مسألة الاطباء بقدر ايماني بمسألة الرقية الشرعية على يد اهلها و اقول اهلها او الافضل ان يرقي الانسان نفسه لان القران فيه شفاء لكل الوساوس النفسية و الكروبات,positive,standard
هادشي كامل خذيه من منظورو الايجابي كل بني ادم خطاء و الواحد هو اللي يتعلم من اخطاءه ومنها نيت تعرفي الناس كيف تفكر و كيف تناقشو كيف تنصح و تستافد منهم,positive,dialectal
تنقصنا المعرفة في شتى المجالات الناس تطلق احكاما ظاهرية غير مبالية بما ستسببه من ضرر نفسي للمريض تزيد تعقدو كما نقولو و ضرر نفسي لعائلته,negative,dialectal
يبدو انك عانيت الامرين مع هذه التغريدة ,negative,standard
 حسنا,positive,standard
امين يا رب,positive,standard
اللهم امييين يا رب العالمين,positive,standard
اللهم ارزقنا حسن الخاتمة,positive,standard
خرج مرفوع الرأس في انتظار تكرار المشهد,positive,standard
اذا سخر الله لك سببا لبلوغ مقام ما فلا احد سيمنعك ام انني مخطئ,positive,standard
يارب توفيقك لتلاميذنا و تلميذاتنا ، اللهم افتح عليهم فتح العارفين و سدد اجاباتهم يارب العالمين امين,positive,standard
اكبر منجم سري للذهب بالمغرب السكان ،اصبحو زومبي يا الله ,negative,standard
الله يهدي ما خلق,positive,standard
يا رب,positive,standard
 و الله ما كذبت اول مرة يشدو طريق اللي فيها فايدة,positive,dialectal
 المشكلة انهم ما بغاو يهبطو للارض و يناقشو الحلول مع الشعب شادين الزكير معا شعب عزيز عليه الزكير,negative,dialectal
هذا مجرد تخويف و ضرب لعواطفنا الحليب ما يخسر للفلاح عطا ربي الحلول يقدر يبيعو يقدر يخرج منو الزبدة و الحليب اصلا هو خاسر بداك الثمن باش يبيعو ليهم,negative,dialectal
 معا عاد المقاطعة عيش نهار تسمع خبار حنا دبا اللي تنطبق علينا مقولة القافلة تسير و تتمة راك عارفها ,negative,dialectal
 اليوم قريت منشور لاحد ما ينعت اصحاب فكرة مقاطعة موازين باصحاب الفكر الداعشي او الدواعش,negative,dialectal
تفائلو بالخير تجدوه,positive,standard
ان الله اذا احب عبدا ابتلاه,positive,standard
صلوات ربي و سلامه عليه,positive,standard
بوركتم,positive,standard
جاري العمل بها مستقبلا لكن شرط ان يلبو نداء الشعب,positive,dialectal
 تبا لهم و لامثالهم,negative,standard
أستغفر الله العظيم الذي لا اله الا هو الحي القيوم و اتوب اليه,positive,standard
اختلطت عليهم الامور و ما عرفو ما يديرو,negative,dialectal
اللهم امين,positive,standard
لازم من انتفاضة بحال هاد المقاطعة هي اللي غ ترجع فينا بصيص من الامل و لو القليل المهم المحاولة الى ان يحين اجلنا,positive,dialectal
المال زينة الحياة الدنيا اما حنا همنا اخلاقنا او بالاحرى ما بقي منها ان فسدت فلنقرأ على ارواحنا السلام,positive,dialectal
 ارادة الشعب اللي خلاتو يهدر ,positive,dialectal
هذا المراد المسألة مسالة اخلاق من الدرجة الاولى اما الفلوس تمشي و تجي ,positive,dialectal
حنا يهمنا اخلاقنا و اخلاق االجيل الصاعد نحافظو على ما بقي منها اما المال كلشي غا يتحاسب على كل فلس,positive,dialectal
 واحد السيد قال الى عجبوكم فاش يتعراو راكم عارفينهم فين يتعراو و سيرو عندهم ماشي تجيبوهم لهاد البلد السعيد و تدمروا فيه ما بقي من اخلاق,negative,dialectal
لا احب الموسيقى و لا اصحابها ولا اهتم بمشاغلهم,negative,standard
هدي هي المشكلة مشكلة افكار الناس خداو الدين غ اللي يعجبهم فيه,negative,dialectal
السؤال واش مقاطعة هاد المهرجان حتى هو ضرب لاقتصاد البلاد ام سيخرجون علينا بتهديد اخر,negative,dialectal
و الله م اللي سمعت بالخبر فرحت و هاد المسألة خاص يوعاو بيها الناس لتعم الفكرة و نجد متبرعين اخرين,positive,dialectal
امين,positive,standard
الله يهدي ما خلق,positive,dialectal
قصة و عبرة رجل كان ينوي ان يعتمر لهذا العام فسمع بأرملة و لها أيتام تعاني ويلات الفقر فتبرع بمبلغ العمرة لها و لأطفالها,positive,standard
عندي منو الخير الكثير شحال يدير مثلا ,positive,dialectal
و الله ما عرفت فين غا يوصلو بهاد الشي المهم كل جامعات المغرب تعاني من مشاكل و ينتظرون تخرج اطر لاصلاح البلاد,negative,dialectal
هذا ما قيل و يحكى ايضا انهم سيقاطعون الامتحانات و مخاوف من سنة بيضاء,negative,standard
يحكى أن مامادو عاد الى وطنه بعد تهديدات الرئيس بخلع الجنسية الى الأبد كم انت قاسية يا إفريقيا,negative,standard
,positive,dialectal
القهر و الظلم,negative,standard
امين يا رب العالمين,positive,standard
يا رب لك الحمد حمدا يليق بوجهك الكريم,positive,standard
و قل رب ارحمهما كما ربياني صغيرا اللهم اغفر لوالدي وارحمه واجعله من عتقائك من النار في هذا الشهر الفضيل يا حي ياقيوم اللهم نقه من الذنوب و الخطايا كما ينقى الثوب الابيض من الدنس اللهم اجعل قبره روضة من رياض الجنة امين و جميع موتى المسلمين,positive,standard
كل عمل المحبوب محمود,positive,standard
لعمري ما ضاقت بلاد بأهلها ولكن أخلاق الرجال تضيق,negative,dialectal
و اجمل ما فيه حواره مع المجنون,positive,standard
بصفتي مغربي اعلن تضامني المطلق و الصريح مع ابناء الشعب و اعلن مقاطعتي لمهرجان الذل و الفساد موازين تحياتي,positive,standard
سعيد بمروركم,positive,standard
بارك الله فيكم,positive,standard
اصبت اخي الكريم فيه شفاء لكم,positive,standard
لا تجعلن رمضان شهر فكاهة تلهيك فيه من القبيح فنونه واعلم بأنك لاتنال قبوله حتى تكون تصومه وتصونه,negative,standard
نموت نموت كي يحيا الوطن يحيا لمن نحن الوطن إن لم يكن بنا كريما آمنا ولم يكن محترما ولم يكن حرا فلا عشنا ولا عاش الوطن,positive,standard
تماما امين و ان يبعد عنا البخل و الكسل,positive,standard
الله يجازيك,positive,standard
من اجمل ما قيل تعبير راائع بوركتم,positive,standard
و قل استغفروا ربكم انه كان غفارا استغفر الله العظيم و اتوب اليه,positive,standard
بالفعل الحزن درجات ارى ان اصعبهاهي الصدمة التي تسبب الجمود,negative,standard
اللهم اميين و لك بالمثل اخي,positive,standard
مرحبا خويا,positive,dialectal
و لله الحمد و المنة,positive,standard
تستحق التامل لماذا نفوسنا ترتاح في رمضان الجواب لانها صرفت في الغاية التي خلقت من اجلها,positive,standard
ان مستوى ما يتردد على لسانك من كلمات للتعبير يعود لما زرعته في قلبك وعقلك فإن كان الزرع جيد النوعية والمذاق كانت الكلمات على لسانك مذاقها طيب وجيد,positive,standard
اللهم امين يا رب العالمين,positive,standard
الكل شاهد الفيديو الدي يظهر فيه رجل شرطةو هو يسب ويشتم المواطن الضعيف المقهور بكلمات مخلة بالاخلاق رغم توسل الاخير من تقبيل في اليد والحداء لكن الشرطي لم يبالي بدلك بل واصل السب رغم تدخل الحموشي كما قيل هل رايتم او سمعتم قدوم لجنة لمنزل المواطن لاجبار خاطره كما فعل مع التلميذة,negative,standard
نحن في زمن الثبات فيه على الحق احر من الجمر,negative,standard
صحيح المسلم الحق من سلم الناس من يده و لسانه حنا بغينا غير الخير لهاد البلاد و ما بغيناش ندخلو لعالم الطائفية اللي دمر اغلب البلدان العربية لهدا سنتمسك بعقيدتنا و ندعو لهم بالهداية,positive,dialectal
رغم دلك متمسكون بعقيدتنا الله يهدي ما خلق,positive,dialectal
رسالة شكر وتقدير إلى كل أم وأخت وإبنة تعبت في إعداد مائدة الإفطار لأسرتها وما جزاء الإحسان إلا الإحسان فأحسنوا بالكلمة الطيبة والقول الجميل,positive,standard
عرفتي مئات الاسئلة كتجول ف راسي بخصوص هاد المسالة يدفنون علماء السنه و الحق و يمجدون الصوفية و المتصوفين,negative,standard
دولة امارة المؤمنين تتبع منهج صوفي محض حسبنا الله و نعم الوكيل,negative,standard
والله كلما شفتها كنحس بالظلم و الحكرة و يريدون اصلاح التعليم التعليم لن يصلح معا هاد الجيل جيل خصاه التربية الا من رحم ربي,negative,dialectal
زعما ما بغاوش هاد الزوايا و الاضرحة تنقرض و تندثر يعني غ يبقاو محافظين عليها من الزوال,positive,dialectal
صرح وزير الأوقاف أن وزارته تنفق أزيد من مليار سنتيم على الأضرحة والزوايا، في إطار الهبات التي تقدمها سنويا إلى القائمين عليها من أجل الاعتناء بها وصيانتها والحيلولة دون زوالها معا من اجل الغاء تعاقد الاولياء الاموات,negative,standard
هاد المسالة ديال ضرب الاقتصاد الوطني في الصميم,positive,dialectal
تحياتي تقبل الله صيامكم,positive,standard
جميل ولكن الا ترى ان ما يقوم به الشعب صائب,positive,standard
الانهاك اختي يقدر تنسيك فيه ابتسامة ممن تهتمين لامرهم ابنتك مثلا مجرد رؤيتها سعيدة سيتلاشى كل التعب و الانهاك,positive,dialectal
تماما,positive,standard
ف هدك القساوة فاش كاينا الحلاوة لانها توريك الطريق الصحيح اما الى كانت ميسرة و هينة تشك واش نتا نيت على الطريق الصحيح و لا لا,positive,dialectal
جميل شكرا ساضيفها الى معلوماتي,positive,standard
و كفى بالله وكيلا,positive,standard
و السلام الناس تحب تتفرج و تتعجب و تتشفى,positive,dialectal
امين شكرا,positive,standard
دمتم ضاحكين,positive,standard
 لا و الله اؤمن ان القادم احلى باذن الله,positive,standard
امين يارب,positive,standard
هاد وقع الصدمة انا اللي قلتها ,negative,dialectal
امين,positive,standard
الناس تهتم بما تقوله الناس اصل المشاكل,negative,standard
صحيج و اتفق اللي بغيتيه لراسك بغيه للناس,positive,dialectal
النقاش يفيد و اذا ما افاد يخفف من وقع الصدمة,positive,standard
التفاهم و الاحترام وتقدير ما يقوم به كل طرف اساس الاستمرار,positive,standard
قريت هاد الخير فانفجرت ضاحكا لا ما تشوفيش هاد الجانب نسايه شوفي الجانب المشرق و الاستقرار,positive,dialectal
النساء تحب السيطرة,negative,standard
ممممم مظلومات و ما خفي اعظم ,negative,standard
 الله يستر هادي صدقت هي اللي قوامة على زوجها,negative,dialectal
استغفر الله العظيم و اتوب اليه,positive,standard
امييين في امان الله,positive,standard
 سوق النسا صعيب الله يحد الباس,negative,dialectal
رحمة الله وسعت كل شيء,positive,standard
صورة توضح بشاعة ما وصلنا اليه اخلاقيا رجل في مكانته لم يشفع له تاريخه كي يعامل معاملة كريمة زمن يصدق فيها الخائن و يكذب الصادق,negative,standard
باش يديرو ما بغاو فهاد البلد السعيد,negative,dialectal
الى يضحك عليك بنادم تعيق ليه و لكن الى يضحك عليك راسك هي اللي صعيبة,negative,dialectal
صلوات ربي و سلامه عليه ,positive,standard
نعم هدا قصدي ان يكون الشخص طيب و يبتليه الله بواحد ليس بطيب يعني ابتلاء من الله لهدا الشخص لان الله ادا احب احدا ابتلاه انا ايضا اؤمن بالاية لكن هناك استثناءات,positive,dialectal
 دبا يتحملو عواقب ما صنعو,negative,dialectal
الللهم اغفر له و ارحمه و ارزق اهله الصبر و السلوان,positive,standard
 اوا توكلي فيه على الله لعل و عسى يسلم على يدك,positive,dialectal
الثورة التكنولوجيا اصبحت بقدرة قادر في مصلحة قضايا الشعب,positive,standard
مقاطعون و على العهد باقون,positive,standard
سعيد لمروركم,positive,standard
امين وجميع بلاد المسلمين,positive,standard
الله يبارك فيك تقبل الله منا و منكم اختي انا لا علاقة لي بحساب,positive,standard
معك حق و الله يشجع المشاغبين من المتعلمين على التمرد على معلميهم,negative,standard
من فضائل رمضان علينا التقليل من خلطة الناس وأخذ حظ من العزلة وأفضل ما تكون في المرابطة في المسجد وانتظار الصلاة بعد الصلاة,positive,standard
هادي راه خاصك تكتبي معاها المرجو عدم محاولة تجريبها,negative,dialectal
على سلامتها و الله يحفظها لامها و عائلتها,positive,dialectal
في غرفة تعمها الظلماء لم يبق سوى ضوء شاشة هاتفي منير وانا متصل بالأنترنيت أتصفح هدا العالم الغامض حتى لمح بصري منشور يتحدث على ان الفتاة قد تم ايجادها ولله الحمد لهدا اقول لامها وعائلتها على سلامة بنيتكم اوجه شكرخاص لكل الاحرار اللي ساهموفي ايجادها بنشر الخبر على اوسع نطاق,positive,standard
في أمان الله,positive,standard
عيب النفس في كثر الخطايا وعيب العين من قلة النوم وعيب العقل في موت الخلايا وعيب الڨلب دسان الهموم وعيب الروح في خبث النوايا,negative,standard
هادوك الناس دارو العدل هو الدستور ديالهم و الله ينصر الدولة العادلة و لو كانت كافرة كما قيل,positive,dialectal
الله المعين ا ختي و الله يهدي الجميع,positive,standard
اتفق معك و هدا قمة النضج الاخلاقي الغرب فاتونا لانهم يتعاملون بمصداقية,positive,dialectal
امييين نتي غ كافحي و حسني النية بالله و الله ما يخيب من كان همه الصلاح,positive,dialectal
اهم حاجة الوالدين ما يفرطو و ما يستسلمو لانهم اساس تربية الابناء و الله كنشوف شي نمادج كيفرحو و الله كنقول مع راسي غ اللي ما بغا يربي و لادو و صافي,positive,dialectal
النفاق في الحياة في المعاملة في بزاف ديال المواضع ,negative,dialectal
رضي الله عنه و ارضاه,positive,standard
و ما يزيد من وقاحة المشهد هو خروج الاعلام و النيابة عوض التريث و النظر في القضية بعين الحياد لنصرة الحق و ف البلايض اللي بغيناهم يخرجو فيهم و يتدخلو بسرعة يختبؤون النفاق بعينه,negative,dialectal
في الاتحاد قوة يا شعب ,positive,standard
هل تعلمون ان باص المدرسة في امريكا عندما يقف لينزل التلاميد تتوقف جميع السيارات خوفا على سلامة الاطفال,positive,standard
البلد بحاجة الى اطباء امثال كل التحية و التقدير سيدتي,positive,standard
سياتي يوم يعرفون فيه انك نعمة عليهم,positive,standard
العنف طريق لا يسلكه الا الفاشلون الجامعة فضاء لتحصيل العلم و التباري بالافكار و ليست مكان للاقتتال و تصفية الحسابات رحم الله ضحية المواجهات الدامية و رزق اهله الصبر و السلوان صحراوي امازيغي ريفي للدم حرمة على المسلم,negative,standard
تماما هو هذا,positive,dialectal
و الله الى راائع هادوك الناس لا يضعون الكيان الصهيوني في الاعتبار,positive,dialectal
من عرفه فليدعوا له بالرحمة,positive,standard
في امان الله لا تنسى السحور,positive,standard
أعجبني واحد الإعلان دانماركي على الخريطة ديال استفزوا فيه الكيان الصهيوني ياريت يكونوا اشهارات او إعلانات عربية مماثلة,positive,dialectal
لك الله يا مواطن و يا شعب,negative,standard
ان القلب ليحزن لما نسمعه من أخبار عن الصراع الطلابي الذي راح ضحيته عدد من الضحايا و ما يحز في النفس أكثر ان غالبيتهم او جلهم من اولاد الشعب تطاحنات بين فصائل طلابية تحدث في غالب الاحيان لأسباب تافهة الجامعة او الكلية مكان لتحصيل العلم و ليست ساحة معركة,negative,standard
ابتسم فأنت في دولة عربية,positive,standard
السلام عليكم ورحمة الله وبركاته إن الذين آمنوا و الذين هاجروا و جاهدوا في سبيل الله أولئك يرجون رحمت الله و الله غفور رحيم تأمل قوله تعالى «يرجون رحمة الله»، ولم يقل «ثواب عملهم» ليدل على أن وإن عمل ما عمل فهو يرجوا رحمة الله وفضله، إذ يرى عمله ناقصا,positive,standard
تشتهي النفس و الله,positive,standard
تقبل الله منا ومنكم صالح الأعمال,positive,standard
وعجلت إليك رب لترضى لم يقل لتعطيني الراحة ولا المال ولا تفريج الكربة ولا رفع البلاء هكذا فقط “لترضى” اجعل شعارك في رمضان وفي غيره وعجلت إليك ربي لترضى سبحان الله وبحمده سبحان الله العظيم,positive,standard
بالشفاء ان شاء الله,positive,standard
مبارك عليكم الشهر الفضيل تقبل الله منا ومنكم صالح الأعمال,positive,standard
لابأس طهور إن شاء الله الله يشفيك,positive,standard
قال رسول الله صلى الله عليه وسلم «من صام رمضان، إيمانا واحتسابا غفر له ما تقدم من ذنبه» فاستحضر يا رعاك الله هذا المعنى العظيم كلما أوجعتك بطنك من الجوع وكلما جف حلقك من العطش,positive,standard
مبارك عليكم الشهر الفضيل,positive,standard
مبارك عليكم الشهر الفضيل تقبل الله منا ومنكم صالح الأعمال ,positive,standard
آميين يارب بكل ما تتمنون إن شاء الله ,positive,standard
مبارك عليكم الشهر الفضيل تقبل الله منا ومنكم صالح الأعمال,positive,standard
تفكير جميل تحياتي,positive,standard
مبارك عليكم الشهر الفضيل تقبل الله منا ومنكم صالح الأعمال,positive,standard
مبارك عليكم الشهر الفضيل تقبل الله منا ومنكم صالح الأعمال,positive,standard
علينا و عليكم,positive,dialectal
رمضان مبارك و مسعود,positive,dialectal
علينا و عليك خويا انس باش ما تمنيتي يا رب,positive,dialectal
